ID,Name,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
375,Winifrid Hinsch,37,female,2,rent,little,little,7685,48,business,bad
376,Alarick Rosacker,34,male,2,own,little,NA,2320,18,radio/TV,good
377,Adalbert Rosacker,36,male,2,free,NA,NA,846,7,radio/TV,good
378,Fremont Pahls,57,male,3,free,little,moderate,14318,36,car,bad
379,Alyda Banzhaf,52,female,1,own,moderate,NA,362,6,car,good
380,Falk Schimmel,39,male,2,own,NA,little,2212,20,furniture/equipment,good
381,Solvig Hibbler,38,female,3,free,little,moderate,12976,18,car,bad
382,Halfrida Garbrecht,25,female,2,rent,NA,NA,1283,22,car,good
383,Roddric Specker,26,male,2,own,little,rich,1330,12,car,good
384,Odhert Rater,26,male,1,own,moderate,NA,4272,30,business,good
385,Adriane Rieber,25,female,2,own,little,NA,2238,18,radio/TV,good
386,Odila Sedler,21,female,2,rent,NA,NA,1126,18,radio/TV,good
387,Koltin Herdt,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
388,Gerrard Galm,27,male,2,own,quite rich,moderate,2326,15,business,good
389,Griswalda Wormuth,27,female,2,own,little,NA,1449,9,business,good
390,Richard Karnatz,30,male,3,own,little,NA,1820,18,car,good
391,Adalheid Altenburg,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
392,Berrin Schoeck,39,male,3,free,little,little,3249,36,car,good
393,Genowefa Herschberger,31,female,2,own,little,little,1957,6,radio/TV,good
394,Axel Duren,31,male,3,own,little,NA,2406,9,furniture/equipment,good
395,Waller Kutz,32,male,2,rent,moderate,moderate,11760,39,education,good
396,Nadetta Heser,55,female,3,free,little,little,2578,12,furniture/equipment,good
397,Anton Siemen,46,male,2,own,little,little,2348,36,furniture/equipment,good
398,Hewitt Kaeding,46,male,2,rent,little,moderate,1223,12,car,bad
399,Millie Welle,43,female,1,own,rich,NA,1516,24,radio/TV,good
400,Manfrit Oley,39,male,2,own,little,NA,1473,18,radio/TV,good
401,Dedric Weigl,28,male,2,own,NA,moderate,1887,18,business,good
402,Koby Knapper,27,male,2,own,little,NA,8648,24,business,bad
403,Fonso Baumgard,27,male,1,own,little,NA,802,14,car,good
404,Treffen Westerberg,43,male,2,own,NA,moderate,2899,18,car,good
405,William Gruss,22,male,2,own,little,moderate,2039,24,radio/TV,bad
406,Wolfgang Meuer,43,male,2,own,NA,NA,2197,24,car,good
407,Wilbart Rusch,27,male,2,own,little,little,1053,15,radio/TV,good
408,Ahren Stampe,26,male,3,own,quite rich,NA,3235,24,radio/TV,good
409,Lothair Haessig,28,male,2,own,quite rich,rich,939,12,car,bad
410,Antonie Mehrhoff,20,female,2,own,little,moderate,1967,24,radio/TV,good
411,Hariman Koep,35,male,3,own,little,NA,7253,33,car,good
412,Arend Huck,42,male,3,own,little,NA,2292,12,business,bad
413,Spengler Simler,40,male,1,rent,quite rich,NA,1597,10,car,good
414,Hildagarde Kassinger,35,female,2,own,NA,little,1381,24,car,bad
415,Rune Remus,35,male,2,own,little,NA,5842,36,car,good
416,Aldrik Schindler,33,male,1,own,little,little,2579,12,car,bad
417,Mina Westerberg,23,female,2,rent,NA,little,8471,18,education,good
418,Albertyne Eis,31,female,3,own,quite rich,NA,2782,21,car,good
419,Rachel Selzler,33,female,2,own,NA,moderate,1042,18,car,bad
420,Rosamund Friedlander,20,female,2,rent,rich,NA,3186,15,car,good
421,Lambret Morgen,30,male,2,own,NA,moderate,2028,12,car,good
422,Huldiberaht Brueggen,47,male,1,own,little,moderate,958,12,car,good
423,Wendel Weigold,34,male,3,own,moderate,NA,1591,21,furniture/equipment,good
424,Norberta Lenz,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad
425,Emory Jakob,21,male,2,rent,little,moderate,2779,18,car,good
426,Otho Prall,29,male,2,own,little,NA,2743,28,radio/TV,good
427,Volker Puthoff,46,male,2,own,rich,NA,1149,18,radio/TV,good
428,Brandeis Ploetz,20,male,2,own,little,NA,1313,9,furniture/equipment,good
429,Geralyn Gensel,55,female,0,free,little,little,1190,18,repairs,bad
430,Gunther Klapper,74,male,1,own,little,NA,3448,5,business,good
431,Amd Herlinger,29,male,3,own,little,moderate,11328,24,vacation/others,bad
432,Nardo Heckert,36,male,3,free,little,little,1872,6,furniture/equipment,good
433,Terrell Oller,33,male,2,own,little,NA,2058,24,repairs,good
434,Earnest Andra,25,male,2,own,little,little,2136,9,furniture/equipment,good
435,Alphonso Helling,25,male,2,own,NA,moderate,1484,12,radio/TV,bad
436,Englebert Uhlhorn,23,male,1,rent,quite rich,NA,660,6,repairs,good
437,Marleina Rothstein,37,female,2,own,rich,NA,1287,24,car,good
438,Archimbald Kutz,65,male,0,own,little,little,3394,42,repairs,good
439,Karlina Ficker,26,female,0,own,little,rich,609,12,business,bad
440,Hewlett Beversdorf,39,male,3,own,little,NA,1884,12,car,good
441,Adalie Wertheimer,30,female,2,own,little,little,1620,12,furniture/equipment,good
442,Hobbard Gunder,29,male,2,own,little,moderate,2629,20,vacation/others,good
443,Hamlet Schoeder,41,male,1,own,little,NA,719,12,education,bad
444,Rilla Krogmann,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
445,Marlayne Amthor,41,female,1,rent,NA,NA,1244,9,education,good
446,Marlina Amberger,34,female,2,own,little,little,1842,36,car,bad
447,Berlyn Zeinert,35,male,2,own,little,moderate,2576,7,radio/TV,good
448,Gretel Doron,55,female,3,own,NA,rich,1424,12,furniture/equipment,good
449,Reiner Lotzer,61,male,2,own,rich,moderate,1512,15,repairs,bad
450,Gregor Dressel,30,male,3,own,NA,NA,11054,36,car,good
451,Geraldina Kaelber,29,female,2,own,little,NA,518,6,radio/TV,good
452,Ricardo Schillo,34,male,2,own,little,NA,2759,12,furniture/equipment,good
453,Dieter Kreikemeier,35,male,3,own,little,NA,2670,24,car,good
454,Bing Kobel,31,male,2,own,little,little,4817,24,car,bad
455,Hulda Drexler,29,female,3,own,little,NA,2679,24,car,good
456,Hobard Schubert,36,male,2,rent,little,little,3905,11,car,good
457,Stirling Resner,35,male,2,free,little,little,3386,12,car,bad
458,Ernesha Gelnett,27,female,2,own,little,little,343,6,domestic appliances,good
459,Willifrid Peil,32,male,2,own,little,NA,4594,18,radio/TV,good
460,Raimond Bergt,37,male,2,own,little,little,3620,36,furniture/equipment,good
461,Emory Hackert,36,male,2,own,little,little,1721,15,car,good
462,Alvarie Goller,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
463,Edsel Drummer,38,male,2,own,NA,moderate,754,12,education,good
464,Reggie Ranly,34,male,2,own,little,NA,1950,18,business,good
465,Willamar Grandt,63,male,2,own,little,little,2924,24,car,good
466,Ema Meckstroth,29,female,1,rent,little,little,1659,24,radio/TV,bad
467,Nef Planz,32,male,2,own,NA,NA,7238,48,radio/TV,good
468,Winifride Ringgenberg,26,female,2,own,little,NA,2764,33,business,good
469,Eno Seemann,35,male,1,own,little,NA,4679,24,car,good
470,Rob Sauter,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
471,Rolanda Metzler,23,female,2,own,little,little,448,6,education,bad
472,Adalbert Leistikow,28,male,1,own,little,little,654,9,car,bad
473,Edward Schleyer,36,male,3,own,NA,NA,1238,6,education,good
474,Bogohardt Saler,33,male,2,own,little,moderate,1245,18,radio/TV,bad
475,Elyse Tuxhorn,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
476,Bem Hillenburg,24,male,2,own,quite rich,NA,2569,39,car,good
477,Roderick Dorman,25,male,2,own,little,rich,5152,24,radio/TV,good
478,Arick Remus,39,male,1,own,moderate,moderate,1037,12,business,good
479,Burlin Knauf,44,male,2,own,little,little,1478,15,furniture/equipment,good
480,Karly Krech,23,female,1,own,little,moderate,3573,12,radio/TV,good
481,Abelard Kless,26,male,2,own,little,moderate,1201,24,car,good
482,Roderika Nungesser,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
483,Hilde Hirner,30,female,2,own,rich,NA,960,15,furniture/equipment,good
484,Hamlin Koepsel,44,male,2,own,quite rich,NA,1163,12,car,good
485,Ely Leuthauser,47,male,3,own,little,moderate,1209,6,car,bad
486,Rob Haage,52,male,2,own,little,NA,3077,12,radio/TV,good
487,Wandy Burkel,62,female,2,free,little,NA,3757,24,car,good
488,Orlando Vonnahme,35,male,1,rent,moderate,NA,1418,10,car,good
489,Peer Garger,26,male,2,rent,little,NA,3518,6,car,good
490,Waldemar Unruh,26,male,2,own,little,NA,1934,12,radio/TV,good
491,Albertina Laufer,42,female,3,free,little,moderate,8318,27,business,bad
492,Jolan Leistikow,27,female,2,own,moderate,NA,1237,6,radio/TV,good
493,Manfrit Vogler,38,male,2,own,NA,moderate,368,6,radio/TV,good
494,Ehren Knerr,39,male,1,rent,little,little,2122,12,car,good
495,Bernardo Sauter,20,male,2,own,NA,little,2996,24,furniture/equipment,bad
496,Kolten Roeder,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
497,Griswald Hoffner,40,male,2,own,little,NA,1585,24,furniture/equipment,good
498,Sigwald Silbernagel,32,male,1,own,little,moderate,1301,18,radio/TV,good
499,Erkerd Hirner,28,male,2,own,moderate,rich,1323,6,car,good
500,Nadine Manns,27,female,2,own,little,little,3123,24,car,bad
501,Hobard Renz,42,male,2,free,little,little,5493,36,car,good
502,Terrill Ruck,49,male,2,own,moderate,rich,1126,9,radio/TV,good
503,Wagner Langreck,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
504,Dagomar Rudich,24,female,2,rent,little,little,1207,24,car,bad
505,Penrod Beers,27,male,1,own,NA,NA,1309,10,car,bad
506,Bren Holtzer,36,male,2,own,quite rich,rich,2360,15,car,good
507,Roth Augsburger,34,male,3,own,moderate,moderate,6850,15,car,bad
508,Rolf Schweitzer,28,male,2,own,little,NA,1413,24,radio/TV,good
509,Christofer Tritz,45,male,3,own,moderate,NA,8588,39,car,good
510,Hulbard Erhardt,26,male,2,own,little,little,759,12,car,bad
511,Meino Drexler,32,male,3,free,little,NA,4686,36,car,good
512,Zacharia Hinsch,26,male,2,rent,little,rich,2687,15,business,good
513,Madelhari Heuer,20,male,2,rent,little,moderate,585,12,radio/TV,good
514,Erkerd Amelung,54,male,2,own,NA,NA,2255,24,car,good
515,Bertha Breininger,37,female,2,own,little,little,609,6,car,good
516,Brandeis Kuehnert,40,male,1,own,little,little,1361,6,car,good
517,Antonie Peiser,23,female,2,rent,little,NA,7127,36,furniture/equipment,bad
518,Hartman Schoeder,43,male,2,own,moderate,little,1203,6,car,good
519,Gretel Prechel,36,male,2,free,NA,NA,700,6,radio/TV,good
520,Meinke Mersman,44,male,2,free,little,NA,5507,24,repairs,good
521,Amara Greven,24,female,2,own,little,little,3190,18,radio/TV,bad
522,Xiomar Stoebe,53,male,2,free,little,little,7119,48,furniture/equipment,bad
523,Emmaline Leuthauser,23,female,2,own,moderate,NA,3488,24,car,good
524,Matilda Schieferstein,26,female,1,own,little,moderate,1113,18,radio/TV,good
525,Bamey Harnisch,30,male,2,own,little,moderate,7966,26,car,good
526,Lorita Lingner,31,female,2,own,moderate,NA,1532,15,education,good
527,Amet Letterman,42,male,1,own,little,NA,1503,4,radio/TV,good
528,Lindeberg Reeg,31,male,2,rent,little,little,2302,36,radio/TV,bad
529,Willmarr Flaig,41,male,1,own,little,little,662,6,car,good
530,Georg Schaub,32,male,2,own,little,moderate,2273,36,education,good
531,Loralei Lippmann,28,female,2,rent,moderate,moderate,2631,15,car,bad
532,Webber Thalmann,41,male,2,rent,little,NA,1503,12,car,good
533,Schaffer Brabender,26,male,2,own,moderate,NA,1311,24,radio/TV,good
534,Adalwin Nofziger,25,male,2,own,NA,NA,3105,24,radio/TV,good
535,Erhard Steinmeyer,33,male,2,rent,little,rich,2319,21,education,bad
536,Wido Herlinger,75,female,3,own,NA,little,1374,6,car,good
537,Hildemar Groshans,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
538,Lughaidh Retz,42,male,3,free,little,little,7763,48,car,bad
539,Oda Schwed,45,female,1,own,little,rich,3049,18,furniture/equipment,good
540,Siegmund Gaw,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
541,Luduvico Endler,60,male,2,free,little,NA,2032,24,car,good
542,Williams Willenborg,31,male,2,own,NA,little,6350,30,furniture/equipment,bad
543,Johan Knull,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
544,Emery Linz,61,male,1,own,little,NA,1255,12,car,good
545,Geomar Glenz,43,male,2,free,little,little,1333,24,car,bad
546,Nadja Frum,37,female,2,own,little,NA,2022,24,car,good
547,Eckerd Nowack,32,male,2,own,little,NA,1552,24,radio/TV,good
548,Claudelle Hellinger,24,female,1,own,little,little,626,12,radio/TV,bad
549,Pepin Markus,35,male,2,free,NA,NA,8858,48,car,good
550,Odile Weitzel,23,female,2,own,NA,NA,996,12,repairs,good
551,Halfrid Prock,45,male,1,own,quite rich,NA,1750,6,radio/TV,good
552,Binga Hoffner,34,male,2,own,little,little,6999,48,radio/TV,bad
553,Eadaion Haage,27,male,2,own,moderate,moderate,1995,12,car,good
554,Lisa Brenneman,67,female,3,own,little,moderate,1199,9,education,good
555,Hild Brahm,22,male,2,own,little,moderate,1331,12,radio/TV,bad
556,Petronilla Riehle,28,female,2,own,moderate,moderate,2278,18,car,bad
557,Monika Landauer,29,female,2,own,NA,NA,5003,21,car,bad
558,Emma Nuehring,27,male,2,own,little,little,3552,24,furniture/equipment,bad
559,Nadja Anker,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
560,Marelda Knoebel,49,male,2,free,NA,little,2964,24,car,good
561,Kuonrada Haselhorst,24,male,1,rent,little,little,1546,24,radio/TV,bad
562,Conradine Holtzinger,29,female,2,own,little,rich,683,6,radio/TV,good
563,Adele Fokken,37,male,2,free,NA,moderate,12389,36,car,bad
564,Idalie Kirchberg,37,male,3,own,NA,moderate,4712,24,business,good
565,Otylia Weichel,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
566,Binga Statzer,36,male,2,own,little,little,1372,12,car,bad
567,Melisande Schleyer,34,male,2,own,rich,NA,2578,24,radio/TV,good
568,Wande Drummer,41,male,2,own,NA,moderate,3979,48,radio/TV,good
569,Conradina Nathe,31,female,2,own,little,little,6758,48,radio/TV,bad
570,Margo Stengel,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
571,Waldhurga Molt,38,male,2,own,little,NA,5954,30,radio/TV,good
572,Alfreda Reinhard,26,female,3,rent,NA,NA,5433,24,car,good
573,Irma Lippold,22,female,1,own,little,little,806,15,business,good
574,Karly Ballmann,27,male,1,own,little,moderate,1082,9,radio/TV,good
575,Aliz Meck,24,female,2,own,little,NA,2788,15,furniture/equipment,good
576,Hilde Prechel,27,female,2,own,little,moderate,2930,12,radio/TV,good
577,Rudella Exner,33,female,2,own,NA,NA,1927,24,education,good
578,Winifreda Kosterman,27,male,2,own,little,moderate,2820,36,car,bad
579,Irmine Roehr,27,male,1,own,little,NA,937,24,education,good
580,Ballard Hottman,30,male,2,own,little,moderate,1056,18,car,bad
581,Maddalen Eister,49,male,1,own,little,moderate,3124,12,car,good
582,Frederica Lebsack,26,female,2,rent,little,NA,1388,9,furniture/equipment,good
583,Gisilberhta Reuther,33,male,1,rent,little,moderate,2384,36,repairs,bad
584,Tugenda Eitzen,52,female,3,free,NA,NA,2133,12,car,good
585,Rosa Hinsch,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
586,Ulrike Fenzel,36,male,2,rent,little,little,2799,9,car,good
587,Ghislaine Westerberg,21,male,1,own,little,little,1289,12,furniture/equipment,good
588,Halfrida Drexler,47,male,1,own,little,little,1217,18,domestic appliances,bad
589,Elsje Lier,60,male,2,own,little,little,2246,12,furniture/equipment,bad
590,Marlene Fonger,58,female,1,own,little,little,385,12,radio/TV,good
591,Margrit Renz,42,female,2,rent,NA,moderate,1965,24,car,good
592,Binga Winchenbach,36,female,1,own,rich,NA,1572,21,business,good
593,Alarica Ubel,20,female,1,rent,little,moderate,2718,24,car,bad
594,Eadaion Steuer,40,male,3,own,NA,little,1358,24,vacation/others,bad
595,Emmy Prestenbach,32,female,1,own,moderate,moderate,931,6,car,bad
596,Walborgd Morgenroth,23,female,2,rent,little,little,1442,24,car,bad
597,Adal Wasserman,36,male,1,own,little,moderate,4241,24,business,bad
598,Bruna Hann,31,male,2,own,little,NA,2775,18,car,bad
599,Loralei Oblander,32,male,2,free,little,NA,3863,24,business,good
600,Alphonsine Ranke,45,female,2,own,little,moderate,2329,7,radio/TV,good
601,Marlina Ranck,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
602,Serhilda Steinhagen,34,female,1,free,little,moderate,1837,24,education,bad
603,Helene Meuer,28,female,3,own,little,NA,3349,36,furniture/equipment,bad
604,Odila Wickland,23,female,2,own,little,rich,1275,10,furniture/equipment,good
605,Oda Bengel,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
606,Karoline Loehr,74,male,3,own,little,NA,4526,24,business,good
607,Berit Uhlhorn,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
608,Karlyn Mosteller,33,male,2,own,little,NA,2051,18,radio/TV,good
609,Alarice Schaller,45,male,2,free,NA,NA,1300,15,car,good
610,Alvarie Doelling,22,female,2,own,moderate,little,741,12,domestic appliances,bad
611,Lise Gradwohl,48,female,1,free,moderate,rich,1240,10,car,bad
612,Nadetta Austgen,29,female,2,own,rich,little,3357,21,radio/TV,good
613,Engelbertina Meinholz,22,female,2,rent,little,little,3632,24,car,good
614,Wilhelmine Oller,22,female,2,own,little,NA,1808,18,furniture/equipment,bad
615,Magnild Schindler,48,male,3,own,NA,moderate,12204,48,business,good
616,Tresa Paschke,27,male,3,free,NA,moderate,9157,60,radio/TV,good
617,Helma Biller,37,male,2,rent,little,little,3676,6,car,good
618,Serilda Griff,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
619,Verene Andra,49,male,1,own,little,NA,640,12,car,good
620,Jakoba Rieber,27,male,2,own,little,moderate,3652,21,business,good
621,Geneva Wienke,32,male,2,own,little,NA,1530,18,car,bad
622,Aloisia Berges,38,male,2,own,NA,NA,3914,48,business,bad
623,Hildireth Schlangen,22,female,2,rent,little,little,1858,12,furniture/equipment,good
624,Gertrud Karras,65,male,2,free,little,little,2600,18,radio/TV,bad
625,Adalicia Dueck,35,male,2,own,NA,NA,1979,15,radio/TV,good
626,Leoda Zinn,41,male,2,own,little,rich,2116,6,furniture/equipment,good
627,Gisella Gerbracht,29,male,2,own,moderate,moderate,1437,9,car,bad
628,Gunilla Frantz,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,good
629,Kathe Mende,64,male,1,own,NA,NA,3832,9,education,good
630,Solvig Weichel,28,female,2,own,little,little,3660,24,radio/TV,good
631,Marlena Welk,44,male,2,own,little,little,1553,18,furniture/equipment,bad
632,Hildemar Hauer,23,male,2,own,NA,moderate,1444,15,radio/TV,good
633,Lurlene Vorpagel,19,female,2,rent,little,NA,1980,9,furniture/equipment,bad
634,Gerwalta Wissing,25,female,1,own,little,moderate,1355,24,car,bad
635,Erna Riel,47,male,2,own,little,NA,1393,12,education,good
636,Karlyn Vorpahl,28,female,2,own,quite rich,NA,1376,24,radio/TV,good
637,Adal Kuechler,21,male,2,own,little,NA,15653,60,radio/TV,good
638,Lotte Bokelman,34,female,2,own,little,NA,1493,12,radio/TV,good
639,Edeline Gerhard,26,male,2,own,little,little,4370,42,radio/TV,bad
640,Serilda Koep,27,female,0,own,little,little,750,18,education,bad
641,Geralynn Lentz,38,male,1,own,little,moderate,1308,15,repairs,good
642,Irma Lotzer,40,male,3,own,moderate,NA,4623,15,education,bad
643,Erna Achen,33,male,2,own,little,NA,1851,24,radio/TV,good
644,Ordalf Knapke,32,male,3,own,little,little,1880,18,radio/TV,good
645,Bemadette Ruppe,27,male,2,rent,NA,NA,7980,36,business,bad
646,Aloysia Thering,32,male,2,own,little,little,4583,30,furniture/equipment,good
647,Minne Sendelbach,26,female,2,own,quite rich,NA,1386,12,car,bad
648,Hedwig Drexler,38,male,2,free,little,rich,947,24,car,bad
649,Gerwalta Garger,40,male,1,rent,little,little,684,12,education,bad
650,Sente Hauer,50,male,3,free,little,little,7476,48,education,good
651,Dell Kammeraad,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
652,Suzanne Herres,45,male,2,own,little,little,2303,24,car,bad
653,Gerhardina Bramer,42,male,3,own,moderate,moderate,8086,36,car,bad
654,Claudia Benter,35,male,2,own,little,NA,2346,24,car,good
655,Gertrut Preyer,22,male,2,free,little,little,3973,14,car,good
656,Loranna Schaf,41,male,1,own,little,moderate,888,12,car,bad
657,Gretchen Schillo,37,male,2,own,NA,NA,10222,48,radio/TV,good
658,Hide Schaller,28,female,2,own,little,moderate,4221,30,business,good
659,Blas Willenborg,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
660,Roderika Herfel,23,male,2,rent,little,rich,1297,12,radio/TV,good
661,Adalheid Birner,23,male,2,own,NA,little,900,12,car,bad
662,Winola Dueck,50,male,2,own,little,NA,2241,21,furniture/equipment,good
663,Marhilda Fisch,35,male,3,own,little,moderate,1050,6,furniture/equipment,good
664,Nadetta Heser,50,female,1,own,little,rich,1047,6,education,good
665,Emma Kutzke,27,male,3,own,little,NA,6314,24,vacation/others,good
666,Winifrid Killian,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
667,Alisz Busch,27,female,2,own,little,NA,3609,48,business,good
668,Romilda Lossing,43,male,2,rent,little,little,4843,12,car,bad
669,Gerde Unruh,47,male,2,own,little,rich,3017,30,radio/TV,good
670,Lurline Prock,27,male,1,own,moderate,NA,4139,24,business,good
671,Jakobie Wissel,31,male,2,own,moderate,NA,5742,36,business,good
672,Lorelei Bost,42,male,3,own,little,NA,10366,60,car,good
673,Monika Panke,24,male,2,own,quite rich,NA,2080,6,car,good
674,Alicia Schaumberg,41,male,1,own,quite rich,NA,2580,21,business,bad
675,Norberaht Austgen,26,female,3,rent,little,NA,4530,30,radio/TV,good
676,Otthilda Kultgen,33,male,2,own,little,NA,5150,24,furniture/equipment,good
677,Dagomar Ander,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
678,Rozmonda Zahn,64,male,1,rent,little,little,2384,24,radio/TV,good
679,Roderika Stengel,26,female,2,own,little,NA,1453,18,radio/TV,good
680,Ballard Schaumberg,56,female,2,own,little,NA,1538,6,education,good
681,Hedy Heber,37,male,2,free,NA,NA,2279,12,radio/TV,good
682,Leoda Rook,33,male,2,own,little,NA,1478,15,radio/TV,good
683,Annemarie Schoeder,47,male,2,free,little,NA,5103,24,radio/TV,good
684,Frieda Zink,31,male,1,own,moderate,moderate,9857,36,business,good
685,Aloisia Badertscher,34,male,2,free,NA,NA,6527,60,car,good
686,Gunnel Hargesheimer,27,male,2,own,NA,rich,1347,10,radio/TV,good
687,Katharina Stahlecker,30,male,2,free,moderate,moderate,2862,36,car,good
688,Marelda Gunder,35,male,2,own,moderate,NA,2753,9,radio/TV,good
689,Luana Zeiss,31,male,2,own,rich,little,3651,12,car,good
690,Emmeline Pahls,25,male,2,own,little,little,975,15,furniture/equipment,good
691,Tresa Knerr,25,female,1,own,moderate,moderate,2631,15,repairs,good
692,Jakobe Brueggen,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
693,Otthilda Meger,44,male,1,own,NA,little,4716,6,car,good
694,Lorita Layman,28,male,2,own,little,NA,2284,24,radio/TV,good
695,Halfrida Stengel,50,male,2,rent,quite rich,NA,1236,6,car,good
696,Hylda Kalthoff,29,male,2,own,little,moderate,1103,12,radio/TV,good
697,Ertha Klunder,38,female,0,own,little,NA,926,12,car,good
698,Alyda Mellenthin,24,male,2,own,little,NA,1800,18,radio/TV,good
699,Adela Lundt,40,male,3,rent,little,rich,1905,15,education,good
700,Mitzi Kienbaum,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad
701,Hedwig Kuchenbecker,46,male,2,free,little,little,6331,48,car,bad
702,Clarimond Landmesser,47,female,2,free,moderate,rich,1377,24,radio/TV,good
703,Halfrida Kuehnert,41,male,2,own,moderate,moderate,2503,30,business,good
704,Mady Schlangen,32,female,2,own,little,moderate,2528,27,business,good
705,Walda Sturn,35,female,2,free,quite rich,NA,5324,15,car,good
706,Luise Offner,24,male,2,own,moderate,moderate,6560,48,car,bad
707,Bruna Pfrommer,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
708,Margrit Benzschawel,25,female,2,own,little,moderate,1206,9,radio/TV,good
709,Aili Schmidlkofer,37,male,1,own,little,moderate,2118,9,radio/TV,good
710,Isole Zoll,32,male,3,own,quite rich,NA,629,18,radio/TV,good
711,Greta Graefe,35,female,2,free,little,little,1198,6,education,bad
712,Rupetta Helling,46,male,3,own,NA,NA,2476,21,car,good
713,Hedwig Gebhard,25,male,1,own,little,little,1138,9,radio/TV,good
714,Wilhelmine Gasper,27,male,3,own,little,moderate,14027,60,car,bad
715,Rille Koeppel,63,male,2,own,NA,NA,7596,30,car,good
716,Marlayna Kutz,40,male,2,own,NA,NA,3077,30,radio/TV,good
717,Dagomar Brettschneider,32,male,3,free,little,NA,1505,18,radio/TV,good
718,Rudella Kutz,31,male,2,own,NA,rich,3148,24,radio/TV,good
719,Kuonrada Mosteller,31,male,2,own,moderate,moderate,6148,20,car,good
720,Hertha Wambold,34,male,3,own,little,rich,1337,9,radio/TV,bad
721,Alva Harlacher,24,female,2,rent,rich,moderate,433,6,education,bad
722,Gunnel Schultz,24,female,1,own,little,little,1228,12,car,bad
723,Geralynn Geisz,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
724,Elke Pamperin,21,female,2,rent,little,NA,2570,27,car,bad
725,Giselle Molt,41,female,1,own,rich,NA,250,6,car,good
726,Karolina Loesche,47,male,1,own,quite rich,NA,1316,15,radio/TV,good
727,Ghislaine Schindler,25,female,2,rent,little,little,1882,18,radio/TV,bad
728,Frederika Schutzman,59,female,2,rent,little,moderate,6416,48,business,bad
729,Gretel Kosterman,36,male,2,own,rich,rich,1275,24,business,good
730,Otilie Kempkes,33,male,2,own,little,moderate,6403,24,radio/TV,good
731,Della Kratt,21,male,1,rent,little,little,1987,24,radio/TV,bad
732,Magnhilda Seubert,44,female,1,own,little,moderate,760,8,radio/TV,good
733,Claudelle Lochmann,28,female,2,rent,rich,NA,2603,24,car,good
734,Ilsa Heckert,37,female,2,own,little,NA,3380,4,car,good
735,Adelyte Branstetter,29,female,0,own,NA,moderate,3990,36,domestic appliances,good
736,Alvara Leid,23,female,3,rent,little,moderate,11560,24,car,bad
737,Winifrid Hinsch,35,male,1,own,moderate,little,4380,18,car,good
738,Alyda Banzhaf,45,male,3,own,little,NA,6761,6,car,good
739,Walborgd Puderbaugh,26,female,1,rent,moderate,moderate,4280,30,business,bad
740,Solvig Hibbler,32,male,2,own,moderate,little,2325,24,car,good
741,Halfrida Garbrecht,23,male,1,own,little,moderate,1048,10,radio/TV,good
742,Adriane Rieber,41,male,2,own,NA,NA,3160,21,radio/TV,good
743,Odila Sedler,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
744,Griswalda Wormuth,30,male,3,own,NA,little,14179,39,furniture/equipment,good
745,Adalheid Altenburg,28,male,1,own,little,little,1797,13,business,good
746,Frederica Dirnberger,23,female,2,rent,little,little,2511,15,car,good
747,Marlaina Brabender,37,female,1,own,little,little,1274,12,car,bad
748,Genowefa Herschberger,26,male,2,own,NA,NA,5248,21,car,good
749,Nadetta Heser,33,male,2,own,little,NA,3029,15,car,good
750,Nadetta Breininger,49,female,2,own,little,little,428,6,furniture/equipment,good
751,Hylda Graefe,23,female,1,own,little,little,976,18,car,bad
752,Agatha Merle,23,female,1,rent,moderate,moderate,841,12,business,good
753,Irmine Munzer,25,female,2,own,little,NA,5771,30,radio/TV,good
